Expression	Value	Location	Type	
[367]	'l' (0x6C)	0x10024547	char	
[368]	'ä' (0xE4)	0x10024548	char	
[369]	'8' (0x38)	0x10024549	char	
[370]	'G' (0x47)	0x1002454A	char	
[371]	'ü' (0xFC)	0x1002454B	char	
[372]	'”' (0x94)	0x1002454C	char	
[373]	'' (0x8F)	0x1002454D	char	
[374]	'G' (0x47)	0x1002454E	char	
[375]	'.' (0x04)	0x1002454F	char	
[376]	'6' (0x36)	0x10024550	char	
[377]	'6' (0x36)	0x10024551	char	
[378]	'S' (0x53)	0x10024552	char	
[379]	'õ' (0xF5)	0x10024553	char	
[380]	'á' (0xE1)	0x10024554	char	
[381]	'Ÿ' (0x9F)	0x10024555	char	
[382]	'+' (0x2B)	0x10024556	char	
[383]	'¬' (0xAC)	0x10024557	char	
[384]	'ó' (0xF3)	0x10024558	char	
[385]	'Ô' (0xD4)	0x10024559	char	
[386]	',' (0x2C)	0x1002455A	char	
[387]	'¤' (0xA4)	0x1002455B	char	
[388]	'2' (0x32)	0x1002455C	char	
[389]	's' (0x73)	0x1002455D	char	
[390]	'Ÿ' (0x9F)	0x1002455E	char	
[391]	'ê' (0xEA)	0x1002455F	char	
[392]	'Ÿ' (0x9F)	0x10024560	char	
[393]	'ÿ' (0xFF)	0x10024561	char	
[394]	'°' (0xB0)	0x10024562	char	
[395]	'•' (0x95)	0x10024563	char	
[396]	'w' (0x77)	0x10024564	char	
[397]	'H' (0x48)	0x10024565	char	
[398]	'.' (0x1E)	0x10024566	char	
[399]	'¸' (0xB8)	0x10024567	char	
[400]	'C' (0x43)	0x10024568	char	
[401]	'»' (0xBB)	0x10024569	char	
[402]	',' (0x2C)	0x1002456A	char	
[403]	'‡' (0x87)	0x1002456B	char	
[404]	'ž' (0x9E)	0x1002456C	char	
[405]	'ž' (0x9E)	0x1002456D	char	
[406]	'7' (0x37)	0x1002456E	char	
[407]	'†' (0x86)	0x1002456F	char	
[408]	'X' (0x58)	0x10024570	char	
[409]	'\v' (0x0B)	0x10024571	char	
[410]	'ð' (0xF0)	0x10024572	char	
[411]	'.' (0x0E)	0x10024573	char	
[412]	'Í' (0xCD)	0x10024574	char	
[413]	'‡' (0x87)	0x10024575	char	
[414]	'1' (0x31)	0x10024576	char	
[415]	'Ì' (0xCC)	0x10024577	char	
[416]	'.' (0x06)	0x10024578	char	
[417]	'¾' (0xBE)	0x10024579	char	
[418]	'¡' (0xA1)	0x1002457A	char	
[419]	'Q' (0x51)	0x1002457B	char	
[420]	'.' (0x06)	0x1002457C	char	
[421]	'.' (0x02)	0x1002457D	char	
[422]	'À' (0xC0)	0x1002457E	char	
[423]	'Ý' (0xDD)	0x1002457F	char	
[424]	'£' (0xA3)	0x10024580	char	
[425]	'I' (0x49)	0x10024581	char	
[426]	'î' (0xEE)	0x10024582	char	
[427]	'¶' (0xB6)	0x10024583	char	
[428]	'ê' (0xEA)	0x10024584	char	
[429]	'.' (0x12)	0x10024585	char	
[430]	'ª' (0xAA)	0x10024586	char	
[431]	'\' (0x5C)	0x10024587	char	
[432]	'É' (0xC9)	0x10024588	char	
[433]	'Ò' (0xD2)	0x10024589	char	
[434]	'A' (0x41)	0x1002458A	char	
[435]	'ß' (0xDF)	0x1002458B	char	
[436]	'©' (0xA9)	0x1002458C	char	
[437]	'ë' (0xEB)	0x1002458D	char	
[438]	'ê' (0xEA)	0x1002458E	char	
[439]	'•' (0x95)	0x1002458F	char	
[440]	'i' (0x69)	0x10024590	char	
[441]	'4' (0x34)	0x10024591	char	
[442]	'ï' (0xEF)	0x10024592	char	
[443]	'.' (0x10)	0x10024593	char	
[444]	'n' (0x6E)	0x10024594	char	
[445]	'›' (0x9B)	0x10024595	char	
[446]	'w' (0x77)	0x10024596	char	
[447]	'l' (0x6C)	0x10024597	char	
[448]	'ä' (0xE4)	0x10024598	char	
[449]	'8' (0x38)	0x10024599	char	
[450]	'G' (0x47)	0x1002459A	char	
[451]	'ü' (0xFC)	0x1002459B	char	
[452]	'”' (0x94)	0x1002459C	char	
[453]	'' (0x8F)	0x1002459D	char	
[454]	'G' (0x47)	0x1002459E	char	
[455]	'.' (0x04)	0x1002459F	char	
[456]	'6' (0x36)	0x100245A0	char	
[457]	'6' (0x36)	0x100245A1	char	
[458]	'S' (0x53)	0x100245A2	char	
[459]	'õ' (0xF5)	0x100245A3	char	
[460]	'á' (0xE1)	0x100245A4	char	
[461]	'Ÿ' (0x9F)	0x100245A5	char	
[462]	'+' (0x2B)	0x100245A6	char	
[463]	'¬' (0xAC)	0x100245A7	char	
[464]	'ó' (0xF3)	0x100245A8	char	
[465]	'Ô' (0xD4)	0x100245A9	char	
[466]	',' (0x2C)	0x100245AA	char	
[467]	'¤' (0xA4)	0x100245AB	char	
[468]	'2' (0x32)	0x100245AC	char	
[469]	's' (0x73)	0x100245AD	char	
[470]	'Ÿ' (0x9F)	0x100245AE	char	
[471]	'ú' (0xFA)	0x100245AF	char	
[472]	'.' (0x13)	0x100245B0	char	
[473]	'\a' (0x07)	0x100245B1	char	
[474]	'°' (0xB0)	0x100245B2	char	
[475]	'Ñ' (0xD1)	0x100245B3	char	
[476]	'w' (0x77)	0x100245B4	char	
[477]	'8' (0x38)	0x100245B5	char	
[478]	'.' (0x16)	0x100245B6	char	
[479]	'¸' (0xB8)	0x100245B7	char	
[480]	'C' (0x43)	0x100245B8	char	
[481]	'»' (0xBB)	0x100245B9	char	
[482]	',' (0x2C)	0x100245BA	char	
[483]	'‡' (0x87)	0x100245BB	char	
[484]	'ž' (0x9E)	0x100245BC	char	
[485]	'ž' (0x9E)	0x100245BD	char	
[486]	'7' (0x37)	0x100245BE	char	
[487]	'†' (0x86)	0x100245BF	char	
[488]	'X' (0x58)	0x100245C0	char	
[489]	'\v' (0x0B)	0x100245C1	char	
[490]	'ñ' (0xF1)	0x100245C2	char	
[491]	'.' (0x14)	0x100245C3	char	
[492]	'/' (0x2F)	0x100245C4	char	
[493]	'\v' (0x0B)	0x100245C5	char	
[494]	'1' (0x31)	0x100245C6	char	
[495]	'Ì' (0xCC)	0x100245C7	char	
[496]	'.' (0x06)	0x100245C8	char	
[497]	'¾' (0xBE)	0x100245C9	char	
[498]	'¡' (0xA1)	0x100245CA	char	
[499]	'Q' (0x51)	0x100245CB	char	
[500]	'.' (0x06)	0x100245CC	char	
[501]	'.' (0x02)	0x100245CD	char	
[502]	'À' (0xC0)	0x100245CE	char	
[503]	'Ý' (0xDD)	0x100245CF	char	
[504]	'£' (0xA3)	0x100245D0	char	
[505]	'I' (0x49)	0x100245D1	char	
[506]	'î' (0xEE)	0x100245D2	char	
[507]	'¶' (0xB6)	0x100245D3	char	
[508]	'ê' (0xEA)	0x100245D4	char	
[509]	'.' (0x12)	0x100245D5	char	
[510]	'ª' (0xAA)	0x100245D6	char	
[511]	'\' (0x5C)	0x100245D7	char	
[512]	'É' (0xC9)	0x100245D8	char	
[513]	'Ò' (0xD2)	0x100245D9	char	
[514]	'A' (0x41)	0x100245DA	char	
[515]	'ß' (0xDF)	0x100245DB	char	
[516]	'©' (0xA9)	0x100245DC	char	
[517]	'ë' (0xEB)	0x100245DD	char	
[518]	'ê' (0xEA)	0x100245DE	char	
[519]	'•' (0x95)	0x100245DF	char	
[520]	'i' (0x69)	0x100245E0	char	
[521]	'4' (0x34)	0x100245E1	char	
[522]	'ï' (0xEF)	0x100245E2	char	
[523]	'.' (0x10)	0x100245E3	char	
[524]	'n' (0x6E)	0x100245E4	char	
